39 documents , 1 concepts , 261 context features (59339) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -395, end 142, times 6, dT 100, I 1000


map[]

===============  per type  ===============
0.06814170079065025   T=0,K=9:  64956 (0.126) ; 102832 (0.123) ; 107315 (0.086) ; 84494 (0.077) ; 11583 (0.077) ; 52782 (0.059) ; 45996 (0.051) ; nlsj65911 (0.037) ; 69714 (0.036) ; 74735 (0.033) ; 
0.09541915584397073   T=1,K=9:  64956 (0.163) ; 102832 (0.099) ; 107315 (0.087) ; 11583 (0.087) ; 45996 (0.068) ; 52782 (0.066) ; 69714 (0.049) ; 74735 (0.049) ; 84494 (0.044) ; nlsj65911 (0.031) ; 
0.1144305311019447   T=2,K=9:  64956 (0.171) ; 107315 (0.123) ; 102832 (0.078) ; 11583 (0.063) ; 45996 (0.059) ; 84494 (0.056) ; 77595 (0.050) ; 52782 (0.049) ; 74735 (0.044) ; 69714 (0.042) ; 
0.05029186379382321   T=3,K=9:  107315 (0.134) ; 11583 (0.128) ; 64956 (0.082) ; 45996 (0.071) ; 77595 (0.063) ; 74735 (0.062) ; 102832 (0.059) ; 69714 (0.050) ; 84494 (0.046) ; 52782 (0.033) ; 
0.0292640759627883   T=4,K=9:  11583 (0.222) ; 102832 (0.105) ; 64956 (0.093) ; 107315 (0.074) ; 84494 (0.054) ; 45996 (0.049) ; 77595 (0.048) ; 74735 (0.038) ; 52782 (0.034) ; 69714 (0.031) ; 
0.013753523472888652   T=5,K=9:  11583 (0.212) ; 64956 (0.127) ; 84494 (0.091) ; 102832 (0.082) ; 107315 (0.050) ; 74735 (0.044) ; 77595 (0.044) ; 52782 (0.042) ; 45996 (0.038) ; 84234 (0.034) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=9:  11583 (0.131) ; 64956 (0.127) ; 107315 (0.092) ; 102832 (0.091) ; 84494 (0.061) ; 45996 (0.056) ; 52782 (0.047) ; 74735 (0.045) ; 77595 (0.044) ; 69714 (0.040) ; 

0.06616953238110997   T=0,K=10:  41416 (0.123) ; 83718 (0.099) ; 61791 (0.097) ; 23069 (0.081) ; 48051 (0.058) ; 12416 (0.050) ; 75552 (0.048) ; 43070 (0.044) ; 72287 (0.032) ; 110639 (0.032) ; 
0.017053602186774867   T=1,K=10:  61791 (0.116) ; 83718 (0.113) ; 75552 (0.110) ; 41416 (0.086) ; 23069 (0.070) ; 43070 (0.045) ; 110639 (0.039) ; 48051 (0.038) ; 52774 (0.037) ; 12416 (0.031) ; 
0.00894588966651072   T=2,K=10:  75552 (0.151) ; 61791 (0.142) ; 41416 (0.085) ; 83718 (0.072) ; 23069 (0.067) ; 52774 (0.043) ; 102515 (0.039) ; 43070 (0.038) ; 110639 (0.038) ; 48051 (0.036) ; 
0.0044216830315018055   T=3,K=10:  61791 (0.178) ; 75552 (0.176) ; 48051 (0.066) ; 83718 (0.056) ; 102515 (0.054) ; 41416 (0.052) ; 110639 (0.043) ; 53572 (0.042) ; 23069 (0.041) ; 52774 (0.034) ; 
0.0031771600115095776   T=4,K=10:  75552 (0.194) ; 61791 (0.184) ; 83718 (0.061) ; 102515 (0.059) ; 53572 (0.053) ; 52774 (0.051) ; 110639 (0.045) ; 55139 (0.041) ; 48051 (0.037) ; 41416 (0.030) ; 
0.002456103679159514   T=5,K=10:  75552 (0.257) ; 61791 (0.202) ; 52774 (0.059) ; 102515 (0.055) ; 83718 (0.049) ; 53572 (0.047) ; 55139 (0.041) ; 110639 (0.031) ; 23069 (0.022) ; 48051 (0.021) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=10:  75552 (0.156) ; 61791 (0.153) ; 83718 (0.075) ; 41416 (0.066) ; 23069 (0.051) ; 102515 (0.044) ; 48051 (0.043) ; 52774 (0.041) ; 53572 (0.038) ; 110639 (0.038) ; 

0.0009236745293438879   T=0,K=11:  18331 (0.296) ; 76910 (0.169) ; 74732 (0.082) ; 18390 (0.066) ; 72254 (0.063) ; 46612 (0.042) ; 98974 (0.041) ; 67068 (0.033) ; 59735 (0.031) ; 82616 (0.030) ; 
0.0004729774570931259   T=1,K=11:  76910 (0.210) ; 18331 (0.199) ; 72254 (0.090) ; 98974 (0.089) ; 74732 (0.073) ; 18390 (0.055) ; 46612 (0.037) ; 67068 (0.035) ; 82616 (0.031) ; 65755 (0.031) ; 
0.00012949619575746722   T=2,K=11:  76910 (0.272) ; 18331 (0.129) ; 98974 (0.093) ; 72254 (0.073) ; 18390 (0.061) ; 74732 (0.061) ; 46612 (0.048) ; 67068 (0.037) ; 65755 (0.035) ; 59735 (0.033) ; 
2.5289923812389723e-05   T=3,K=11:  76910 (0.237) ; 18331 (0.129) ; 72254 (0.106) ; 98974 (0.091) ; 65755 (0.060) ; 59735 (0.050) ; 74732 (0.049) ; 18390 (0.041) ; 67068 (0.040) ; 82616 (0.037) ; 
2.3767439929906866e-05   T=4,K=11:  76910 (0.311) ; 72254 (0.113) ; 18331 (0.101) ; 74732 (0.079) ; 59735 (0.062) ; 98974 (0.050) ; 65755 (0.037) ; 82616 (0.035) ; 67068 (0.035) ; 46612 (0.032) ; 
4.193035779673007e-05   T=5,K=11:  76910 (0.459) ; 72254 (0.094) ; 18331 (0.084) ; 82616 (0.056) ; 59735 (0.053) ; 98974 (0.034) ; 67068 (0.033) ; 65755 (0.033) ; 74732 (0.032) ; 18390 (0.027) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=11:  76910 (0.276) ; 18331 (0.156) ; 72254 (0.090) ; 98974 (0.066) ; 74732 (0.063) ; 18390 (0.046) ; 59735 (0.043) ; 82616 (0.037) ; 65755 (0.036) ; 67068 (0.036) ; 

0.2960606131272973   T=0,K=12:  70813 (0.087) ; 110114 (0.051) ; 40153 (0.041) ; 90504 (0.037) ; 90122 (0.036) ; 49173 (0.035) ; 48579 (0.034) ; 36505 (0.033) ; 102832 (0.029) ; 46123 (0.029) ; 
0.3036015730416589   T=1,K=12:  70813 (0.095) ; 90504 (0.043) ; 49173 (0.042) ; 40153 (0.038) ; 110114 (0.036) ; 48579 (0.035) ; 36505 (0.032) ; 40852 (0.029) ; 46123 (0.026) ; 102381 (0.024) ; 
0.27140863664318   T=2,K=12:  70813 (0.154) ; 49173 (0.065) ; 90504 (0.049) ; 40153 (0.038) ; 48579 (0.033) ; 40852 (0.031) ; 46123 (0.027) ; 110114 (0.024) ; 73277 (0.024) ; 102381 (0.023) ; 
0.35772445458594004   T=3,K=12:  70813 (0.290) ; 90504 (0.029) ; 49173 (0.028) ; 40153 (0.027) ; 102381 (0.026) ; 46123 (0.026) ; 48579 (0.025) ; 45996 (0.025) ; 110114 (0.025) ; 40852 (0.024) ; 
0.3313612032408539   T=4,K=12:  70813 (0.263) ; 40153 (0.038) ; 45996 (0.038) ; 40852 (0.034) ; 48579 (0.032) ; 15133 (0.030) ; 90504 (0.029) ; 102381 (0.028) ; 8909 (0.027) ; 98584 (0.023) ; 
0.3100990969228921   T=5,K=12:  70813 (0.170) ; 40153 (0.046) ; 40852 (0.046) ; 15133 (0.039) ; 8909 (0.034) ; 49173 (0.033) ; 45996 (0.032) ; 90504 (0.032) ; 102381 (0.032) ; 6339 (0.027) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=12:  70813 (0.177) ; 40153 (0.038) ; 49173 (0.038) ; 90504 (0.036) ; 40852 (0.031) ; 110114 (0.031) ; 48579 (0.031) ; 15133 (0.026) ; 102381 (0.025) ; 45996 (0.022) ; 

0.029304457832050154   T=0,K=13:  45996 (0.229) ; nlsj61372 (0.150) ; 110598 (0.128) ; 41682 (0.085) ; 83774 (0.063) ; 104355 (0.043) ; 260 (0.032) ; nlsj62290 (0.031) ; 43089 (0.030) ; 102115 (0.030) ; 
0.013634883185009411   T=1,K=13:  45996 (0.222) ; nlsj61372 (0.157) ; 110598 (0.150) ; 83774 (0.098) ; 41682 (0.067) ; 260 (0.064) ; 104355 (0.030) ; 102115 (0.030) ; 74126 (0.028) ; 64956 (0.020) ; 
0.00971899560616412   T=2,K=13:  110598 (0.281) ; 45996 (0.213) ; nlsj61372 (0.096) ; 83774 (0.081) ; 41682 (0.059) ; 260 (0.056) ; 104355 (0.030) ; 64956 (0.025) ; 102115 (0.022) ; 74126 (0.018) ; 
