785 documents , 1 concepts , 1744 context features (15047) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 8, max_docs_per_slice 2000, start -488, end 400, times 45, dT 20, I 100


map[]

===============  per type  ===============
0.06896602052099293   T=15,K=1:  63772 (0.021) ; 71882 (0.020) ; 90504 (0.020) ; 33494 (0.018) ; 28569 (0.011) ; 93478 (0.007) ; 75552 (0.007) ; nlsj5634 (0.006) ; 45996 (0.005) ; 79904 (0.005) ; 
0.1329137349641993   T=16,K=1:  71882 (0.022) ; 90504 (0.015) ; 33494 (0.011) ; 63772 (0.011) ; 28569 (0.010) ; nlsj5634 (0.007) ; 93478 (0.007) ; 75552 (0.006) ; 79904 (0.005) ; 8045 (0.004) ; 
0.08689205132286558   T=17,K=1:  71882 (0.019) ; 90504 (0.016) ; 33494 (0.010) ; nlsj5634 (0.008) ; 63772 (0.007) ; 8045 (0.006) ; 93478 (0.005) ; 75552 (0.005) ; 28569 (0.004) ; 2061 (0.004) ; 
0.13351052488107878   T=18,K=1:  90504 (0.021) ; 71882 (0.017) ; 33494 (0.010) ; nlsj5634 (0.009) ; 28569 (0.007) ; 8045 (0.006) ; 38245 (0.005) ; 93478 (0.005) ; 76258 (0.005) ; 75552 (0.005) ; 
0.08234009433083696   T=19,K=1:  71882 (0.023) ; 90504 (0.012) ; 8045 (0.008) ; 28569 (0.007) ; 38245 (0.007) ; 76258 (0.006) ; 33494 (0.006) ; nlsj5634 (0.006) ; 84234 (0.006) ; 63772 (0.004) ; 
0.04756138681544519   T=20,K=1:  71882 (0.032) ; 90504 (0.013) ; nlsj5634 (0.009) ; 28569 (0.007) ; 84234 (0.006) ; 76258 (0.006) ; 8045 (0.006) ; 33494 (0.005) ; 38245 (0.004) ; 51647 (0.004) ; 
0.07078833072536421   T=21,K=1:  71882 (0.032) ; 90504 (0.015) ; 28569 (0.011) ; 76258 (0.008) ; 84234 (0.007) ; 33494 (0.006) ; 8045 (0.006) ; nlsj5634 (0.005) ; 47617 (0.005) ; 38245 (0.005) ; 
0.08541709567143402   T=22,K=1:  90504 (0.026) ; 71882 (0.026) ; 28569 (0.011) ; 84234 (0.009) ; 76258 (0.009) ; nlsj5634 (0.006) ; 33494 (0.005) ; 103922 (0.005) ; 8045 (0.004) ; 47617 (0.004) ; 
0.14006463632578153   T=23,K=1:  90504 (0.031) ; 71882 (0.021) ; 84234 (0.017) ; 76258 (0.010) ; 28569 (0.008) ; 33494 (0.006) ; 8045 (0.006) ; 69714 (0.005) ; 15121 (0.005) ; 46568 (0.004) ; 
0.13607696834650113   T=24,K=1:  90504 (0.031) ; 71882 (0.023) ; 84234 (0.019) ; 76258 (0.011) ; 28569 (0.009) ; 46568 (0.006) ; 103922 (0.005) ; 23046 (0.005) ; 8045 (0.004) ; 51647 (0.004) ; 
0.07168808688097095   T=25,K=1:  90504 (0.037) ; 71882 (0.019) ; 84234 (0.015) ; 76258 (0.007) ; 103922 (0.006) ; 28569 (0.006) ; 46568 (0.006) ; 110639 (0.005) ; 84494 (0.005) ; 8045 (0.004) ; 
0.07625313153590162   T=26,K=1:  90504 (0.072) ; 71882 (0.018) ; 84234 (0.013) ; 46568 (0.007) ; 110639 (0.007) ; 76258 (0.007) ; 104429 (0.005) ; 103922 (0.005) ; 33494 (0.004) ; 28569 (0.004) ; 
0.08031234878919558   T=27,K=1:  90504 (0.063) ; 84234 (0.019) ; 71882 (0.016) ; 110639 (0.010) ; 46568 (0.008) ; 76258 (0.006) ; 51647 (0.005) ; 28569 (0.005) ; 8045 (0.005) ; 94618 (0.004) ; 
0.07719260122191275   T=28,K=1:  90504 (0.071) ; 84234 (0.023) ; 71882 (0.022) ; 110639 (0.009) ; 46568 (0.007) ; 104429 (0.007) ; 79904 (0.005) ; 76258 (0.005) ; 115374 (0.004) ; 28569 (0.004) ; 
0.14759531636586923   T=29,K=1:  90504 (0.065) ; 71882 (0.028) ; 84234 (0.021) ; 110639 (0.010) ; 46568 (0.007) ; 76029 (0.007) ; 79904 (0.006) ; 104429 (0.005) ; 28569 (0.005) ; 48760 (0.005) ; 
0.0947888867767646   T=30,K=1:  90504 (0.040) ; 71882 (0.022) ; 84234 (0.021) ; 110639 (0.015) ; 104429 (0.010) ; 46568 (0.008) ; 9214 (0.005) ; 48760 (0.005) ; 115374 (0.005) ; 63772 (0.004) ; 
0.11111209056538691   T=31,K=1:  90504 (0.048) ; 71882 (0.027) ; 84234 (0.020) ; 110639 (0.012) ; 104429 (0.009) ; 46568 (0.008) ; 63772 (0.008) ; 50702 (0.007) ; 115374 (0.006) ; 103421 (0.006) ; 
0.14746171025421947   T=32,K=1:  90504 (0.035) ; 71882 (0.015) ; 84234 (0.013) ; 63772 (0.011) ; 110639 (0.010) ; 4490 (0.010) ; 115374 (0.008) ; 50702 (0.008) ; 46568 (0.008) ; 51849 (0.006) ; 
0.30635407201064996   T=33,K=1:  90504 (0.035) ; 110639 (0.012) ; 71882 (0.011) ; 4490 (0.011) ; 46568 (0.010) ; 63772 (0.009) ; 50702 (0.008) ; 84234 (0.007) ; 51849 (0.006) ; 103421 (0.005) ; 
0.33252902223010034   T=34,K=1:  90504 (0.027) ; 46568 (0.014) ; 4490 (0.013) ; 110639 (0.013) ; 63772 (0.010) ; 71882 (0.008) ; 50702 (0.008) ; 115374 (0.006) ; 6328 (0.006) ; 114005 (0.006) ; 
0.2493666145249213   T=35,K=1:  90504 (0.035) ; 110639 (0.020) ; 46568 (0.016) ; 71882 (0.011) ; 4490 (0.010) ; 63772 (0.010) ; 84234 (0.007) ; 6328 (0.007) ; 114005 (0.006) ; 50702 (0.006) ; 
0.228710688827692   T=36,K=1:  90504 (0.031) ; 110639 (0.027) ; 46568 (0.021) ; 71882 (0.015) ; 4490 (0.014) ; 84234 (0.009) ; 6328 (0.008) ; 63772 (0.008) ; 98241 (0.007) ; 50702 (0.005) ; 
0.2109126712632966   T=37,K=1:  110639 (0.028) ; 4490 (0.021) ; 46568 (0.019) ; 90504 (0.018) ; 71882 (0.017) ; 98241 (0.010) ; 63772 (0.009) ; 6328 (0.007) ; 8865 (0.007) ; 84234 (0.006) ; 
0.08493095155085442   T=38,K=1:  46568 (0.030) ; 110639 (0.023) ; 4490 (0.017) ; 90504 (0.014) ; 71882 (0.014) ; 63772 (0.008) ; 50702 (0.007) ; 98241 (0.007) ; 76029 (0.007) ; 52456 (0.006) ; 
0.08743662223605593   T=39,K=1:  46568 (0.026) ; 71882 (0.021) ; 110639 (0.016) ; 4490 (0.016) ; 90504 (0.011) ; 52456 (0.011) ; 92010 (0.008) ; 50702 (0.007) ; 63772 (0.007) ; 98241 (0.006) ; 
0.07863307536115004   T=40,K=1:  46568 (0.024) ; 71882 (0.022) ; 4490 (0.016) ; 110639 (0.012) ; 52456 (0.011) ; 96929 (0.010) ; 76029 (0.009) ; 98241 (0.008) ; 63772 (0.008) ; 50702 (0.007) ; 
0.05555240767153822   T=41,K=1:  71882 (0.046) ; 46568 (0.017) ; 98241 (0.015) ; 4490 (0.013) ; 110639 (0.012) ; 90504 (0.010) ; 52456 (0.008) ; 76029 (0.007) ; 96929 (0.006) ; 63772 (0.005) ; 
0.07349691490455881   T=42,K=1:  71882 (0.049) ; 46568 (0.017) ; 4490 (0.015) ; 96929 (0.010) ; 76029 (0.008) ; 98241 (0.008) ; 52456 (0.008) ; 90504 (0.008) ; 110639 (0.007) ; 98288 (0.007) ; 
0.14850572874561   T=43,K=1:  71882 (0.047) ; 46568 (0.020) ; 4490 (0.013) ; 96929 (0.010) ; 76029 (0.010) ; 98241 (0.009) ; 90504 (0.008) ; 98288 (0.008) ; 59905 (0.007) ; 110639 (0.007) ; 
0.04644998743616231   T=44,K=1:  71882 (0.046) ; 4490 (0.016) ; 46568 (0.012) ; 49908 (0.010) ; 96929 (0.009) ; 110639 (0.007) ; 84234 (0.007) ; 100965 (0.006) ; 59905 (0.006) ; 92010 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=1:  90504 (0.028) ; 71882 (0.026) ; 63772 (0.015) ; 33494 (0.008) ; 110639 (0.007) ; 46568 (0.007) ; 84234 (0.007) ; 28569 (0.006) ; 4490 (0.006) ; 45996 (0.005) ; 

0.0626511500282747   T=0,K=2:  66494 (0.077) ; 31236 (0.030) ; 1564 (0.024) ; 46568 (0.022) ; 79904 (0.015) ; 74713 (0.013) ; 6933 (0.011) ; nlsj89132 (0.011) ; 4430 (0.010) ; 103248 (0.010) ; 
0.20158967508462547   T=1,K=2:  66494 (0.037) ; 31236 (0.036) ; 1564 (0.023) ; 74713 (0.018) ; 46568 (0.013) ; 66838 (0.013) ; 79904 (0.012) ; 6933 (0.012) ; 4430 (0.011) ; 4490 (0.009) ; 
0.2672721738066451   T=2,K=2:  66494 (0.045) ; 31236 (0.036) ; 1564 (0.014) ; 46568 (0.014) ; 4430 (0.013) ; 6933 (0.013) ; nlsj89132 (0.013) ; 79904 (0.012) ; 74713 (0.012) ; 76029 (0.011) ; 
0.14590124397443227   T=3,K=2:  31236 (0.057) ; 66494 (0.031) ; 6933 (0.020) ; 46568 (0.018) ; 1564 (0.015) ; 66838 (0.012) ; 79904 (0.012) ; 103248 (0.012) ; 4430 (0.012) ; 63772 (0.010) ; 
0.3349733523890478   T=4,K=2:  31236 (0.056) ; 66494 (0.024) ; 79904 (0.016) ; 6933 (0.016) ; 1564 (0.015) ; 66838 (0.014) ; 46568 (0.013) ; 63772 (0.009) ; 4430 (0.009) ; 31598 (0.009) ; 
0.13348945232044526   T=5,K=2:  31236 (0.075) ; 66838 (0.021) ; 46568 (0.019) ; 79904 (0.014) ; 66494 (0.013) ; 6933 (0.011) ; 75552 (0.010) ; 76029 (0.010) ; 103248 (0.009) ; nlsj89132 (0.009) ; 
0.2232995359649608   T=6,K=2:  31236 (0.054) ; 66838 (0.022) ; 76029 (0.020) ; 46568 (0.015) ; 79904 (0.015) ; 72627 (0.011) ; 15047 (0.011) ; 75552 (0.010) ; 66494 (0.010) ; 11760 (0.010) ; 
0.20038403709488503   T=7,K=2:  31236 (0.058) ; 66838 (0.021) ; 46568 (0.019) ; 15047 (0.019) ; 76029 (0.015) ; 71882 (0.014) ; 79904 (0.014) ; 31598 (0.013) ; 66494 (0.012) ; 72627 (0.011) ; 
0.2078456563036421   T=8,K=2:  31236 (0.035) ; 66838 (0.029) ; 6933 (0.023) ; 100495 (0.020) ; 31598 (0.018) ; 15047 (0.018) ; 71882 (0.017) ; 79904 (0.012) ; 66494 (0.011) ; 104421 (0.010) ; 
0.1485835025693775   T=9,K=2:  66838 (0.052) ; 6933 (0.039) ; 100495 (0.032) ; 104421 (0.019) ; 71882 (0.017) ; 31236 (0.016) ; 66494 (0.013) ; 75552 (0.012) ; 15047 (0.012) ; 34366 (0.011) ; 
0.10567304365770858   T=10,K=2:  6933 (0.035) ; 100495 (0.026) ; 66838 (0.025) ; 104421 (0.018) ; 71882 (0.018) ; 66494 (0.014) ; 31236 (0.014) ; 15047 (0.013) ; 75552 (0.012) ; 31598 (0.012) ; 
0.07066149164492957   T=11,K=2:  66838 (0.029) ; 100495 (0.029) ; 15047 (0.020) ; 71882 (0.017) ; 31236 (0.014) ; 66494 (0.014) ; 84494 (0.013) ; 6933 (0.012) ; 84535 (0.010) ; 104421 (0.008) ; 
