1711 documents , 1 concepts , 3654 context features (26886) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:   (0.014) ; 84234 (0.013) ; 8665 (0.013) ; 75552 (0.011) ; 52572 (0.011) ; 260 (0.010) ; nlsj76838 (0.009) ; 62204 (0.009) ; 86219 (0.009) ; 24292 (0.008) ; 

0.05621061378503857   T=0,K=4:  116416 (0.024) ; nlsj76838 (0.021) ; 19546 (0.014) ; 22209 (0.014) ;  (0.013) ; 29883 (0.011) ; 45996 (0.011) ; 95100 (0.010) ; 12035 (0.010) ; 48291 (0.010) ; 
0.22257835920231783   T=1,K=4:  19546 (0.020) ; 22209 (0.016) ; 116416 (0.015) ; nlsj76838 (0.014) ; 71308 (0.013) ; 31161 (0.011) ;  (0.010) ; 84494 (0.009) ; 48291 (0.009) ; 27847 (0.008) ; 
0.0707505194339456   T=2,K=4:  19546 (0.015) ; 29883 (0.014) ; 22209 (0.014) ; 116416 (0.012) ; 71308 (0.012) ; 45996 (0.012) ; nlsj76838 (0.011) ;  (0.010) ; 48291 (0.009) ; 68641 (0.008) ; 
0.11003806007109455   T=3,K=4:  71308 (0.014) ; 19546 (0.011) ; 45996 (0.011) ; 31161 (0.010) ; 29883 (0.010) ; 48291 (0.010) ;  (0.010) ; 22209 (0.009) ; 68641 (0.009) ; 86219 (0.009) ; 
0.09830714028491593   T=4,K=4:   (0.015) ; 48291 (0.015) ; 22209 (0.013) ; 71308 (0.012) ; 260 (0.012) ; 68641 (0.012) ; 45996 (0.011) ; 31161 (0.010) ; 116416 (0.010) ; 84234 (0.009) ; 
0.1178500426184546   T=5,K=4:  22209 (0.028) ; 48291 (0.026) ; 71308 (0.016) ; 45996 (0.015) ;  (0.013) ; 260 (0.011) ; 84494 (0.010) ; 103972 (0.010) ; 84234 (0.009) ; 68641 (0.009) ; 
0.1403013464694022   T=6,K=4:  48291 (0.023) ; 22209 (0.018) ;  (0.015) ; 45996 (0.015) ; 71308 (0.012) ; 84494 (0.011) ; 52332 (0.009) ; 103972 (0.009) ; 63772 (0.009) ; 29883 (0.009) ; 
0.06402790930623574   T=7,K=4:  48291 (0.025) ;  (0.022) ; 22209 (0.021) ; 45996 (0.015) ; 11072 (0.011) ; 29883 (0.010) ; 8909 (0.010) ; 90504 (0.009) ; 8665 (0.009) ; 84494 (0.009) ; 
0.15840387510276838   T=8,K=4:  48291 (0.022) ;  (0.016) ; 45996 (0.014) ; 22209 (0.013) ; 84494 (0.013) ; 63772 (0.013) ; 29883 (0.011) ; 8909 (0.010) ; 90504 (0.010) ; 26886 (0.009) ; 
0.129439934246947   T=9,K=4:  48291 (0.025) ; 22209 (0.022) ; 45996 (0.021) ;  (0.019) ; 63772 (0.015) ; 31161 (0.013) ; 8909 (0.013) ; 90504 (0.013) ; 80327 (0.009) ; 66259 (0.009) ; 
0.11951879261777776   T=10,K=4:  48291 (0.030) ; 22209 (0.019) ; 31161 (0.016) ; 63772 (0.015) ; 8909 (0.014) ; 45996 (0.014) ; 90504 (0.013) ;  (0.011) ; 75526 (0.010) ; 11583 (0.010) ; 
0.0724404075781699   T=11,K=4:  48291 (0.027) ; 45996 (0.018) ; 22209 (0.017) ;  (0.017) ; 31161 (0.015) ; 115887 (0.013) ; 90504 (0.011) ; 84494 (0.010) ; 63772 (0.010) ; 80327 (0.009) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  48291 (0.019) ; 22209 (0.017) ;  (0.014) ; 45996 (0.013) ; 31161 (0.010) ; 71308 (0.009) ; 84494 (0.009) ; 63772 (0.009) ; 29883 (0.009) ; 19546 (0.008) ; 

0.039952558896726505   T=0,K=5:  72610 (0.021) ; 84494 (0.018) ; 63772 (0.018) ; 62204 (0.017) ; 45996 (0.012) ; 83665 (0.010) ; 26447 (0.010) ; 8665 (0.010) ; 44552 (0.010) ; 79223 (0.010) ; 
0.03323814641934214   T=1,K=5:  62204 (0.021) ; 72610 (0.019) ; 63772 (0.019) ; 84494 (0.017) ; 83665 (0.012) ; 26447 (0.012) ; 8665 (0.011) ; 15893 (0.010) ; 64866 (0.010) ; 23726 (0.010) ; 
0.1024040100638221   T=2,K=5:  63772 (0.030) ; 84494 (0.020) ; 72610 (0.018) ; 84234 (0.017) ; 15893 (0.016) ; 62204 (0.014) ;  (0.013) ; 85654 (0.010) ; 26447 (0.010) ; 23726 (0.009) ; 
0.06336572304542351   T=3,K=5:  63772 (0.028) ; 84234 (0.026) ; 84494 (0.022) ; 72610 (0.020) ;  (0.017) ; 15893 (0.012) ; 18331 (0.011) ; 62204 (0.010) ; 68641 (0.009) ; 22209 (0.008) ; 
0.08523499740249472   T=4,K=5:  84234 (0.028) ; 63772 (0.022) ; 84494 (0.017) ;  (0.017) ; 72610 (0.011) ; 18331 (0.010) ; 62204 (0.010) ; 22209 (0.010) ; 30299 (0.010) ; 68641 (0.008) ; 
0.09083949819399752   T=5,K=5:  84234 (0.034) ;  (0.018) ; 63772 (0.016) ; 84494 (0.013) ; 68641 (0.013) ; 18331 (0.013) ; 62204 (0.012) ; 45996 (0.011) ; 22209 (0.010) ; 72610 (0.010) ; 
0.0653729910586316   T=6,K=5:  84234 (0.025) ; 84494 (0.015) ;  (0.014) ; 68641 (0.014) ; 63772 (0.014) ; 45996 (0.012) ; 22209 (0.011) ; 85306 (0.010) ; 103922 (0.009) ; 62204 (0.009) ; 
0.12683507878457317   T=7,K=5:  68641 (0.018) ; 84234 (0.017) ; 85306 (0.016) ; 63772 (0.013) ; 62204 (0.011) ;  (0.011) ; 103922 (0.010) ; 45996 (0.010) ; 84434 (0.009) ; 22209 (0.008) ; 
0.13172988740387873   T=8,K=5:  85306 (0.025) ; 45996 (0.022) ; 68641 (0.015) ; 22209 (0.013) ; 84234 (0.012) ;  (0.010) ; 63772 (0.010) ; 90504 (0.010) ; 79223 (0.009) ; 84494 (0.009) ; 
0.13682535360103035   T=9,K=5:  45996 (0.022) ; 85306 (0.018) ; 84494 (0.016) ; 68641 (0.015) ; 84234 (0.013) ; 63772 (0.012) ; 79223 (0.011) ;  (0.010) ; 65313 (0.009) ; 90504 (0.008) ; 
0.07155996537473104   T=10,K=5:  85306 (0.021) ; 45996 (0.019) ; 65313 (0.014) ;  (0.013) ; 68641 (0.012) ; 84234 (0.012) ; 15893 (0.012) ; 58429 (0.010) ; 79223 (0.010) ; 112559 (0.009) ; 
