12 documents , 1 concepts , 186 context features (69419) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -430, end 364, times 7, dT 100, I 1000


map[]

===============  per type  ===============
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  37961 (0.102) ; 15609 (0.075) ; 57460 (0.060) ; 93341 (0.058) ; 111764 (0.055) ; 64316 (0.051) ; 2392 (0.045) ; 70495 (0.033) ; 96999 (0.032) ; 33969 (0.031) ; 

0.016630554101291644   T=0,K=6:  102514 (0.389) ; nlsj112815 (0.139) ; 21928 (0.099) ; 67422 (0.075) ; 51358 (0.047) ; 28349 (0.038) ; 52332 (0.031) ; 7712 (0.030) ; 105497 (0.018) ; 33969 (0.016) ; 
0.0038668323526751826   T=1,K=6:  102514 (0.214) ; 67422 (0.170) ; nlsj112815 (0.135) ; 21928 (0.093) ; 51358 (0.089) ; 7712 (0.035) ; 33969 (0.032) ; 28349 (0.025) ; 52332 (0.022) ; 68335 (0.021) ; 
0.059312341625094564   T=2,K=6:  102514 (0.228) ; 67422 (0.148) ; nlsj112815 (0.129) ; 21928 (0.099) ; 51358 (0.088) ; 7712 (0.033) ; 68335 (0.028) ; 33969 (0.024) ; nlsj85303 (0.024) ; 28349 (0.022) ; 
0.0056374511981750475   T=3,K=6:  102514 (0.195) ; nlsj112815 (0.172) ; 67422 (0.129) ; 21928 (0.087) ; 51358 (0.073) ; 68335 (0.040) ; 28349 (0.037) ; 77030 (0.032) ; 52332 (0.028) ; nlsj85303 (0.027) ; 
0.004794430227530113   T=4,K=6:  nlsj112815 (0.170) ; 102514 (0.169) ; 67422 (0.094) ; 51358 (0.080) ; 21928 (0.069) ; 28349 (0.059) ; 77030 (0.055) ; nlsj85303 (0.043) ; 68335 (0.038) ; 52332 (0.028) ; 
0.02058964217782851   T=5,K=6:  nlsj112815 (0.219) ; 102514 (0.156) ; 67422 (0.102) ; 21928 (0.066) ; 51358 (0.056) ; 28349 (0.048) ; 77030 (0.041) ; 17011 (0.040) ; 68335 (0.036) ; nlsj85303 (0.031) ; 
0.013794594758829453   T=6,K=6:  102514 (0.183) ; nlsj112815 (0.130) ; 67422 (0.119) ; 77030 (0.087) ; 51358 (0.070) ; 21928 (0.056) ; 113560 (0.038) ; 28349 (0.035) ; 17011 (0.034) ; nlsj85303 (0.029) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=6:  102514 (0.219) ; nlsj112815 (0.156) ; 67422 (0.120) ; 21928 (0.081) ; 51358 (0.072) ; 28349 (0.038) ; 77030 (0.038) ; 68335 (0.028) ; nlsj85303 (0.027) ; 52332 (0.025) ; 
