213 documents , 1 concepts , 1144 context features (71976) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 3


map[]

===============  per type  ===============

0.2923095992297638   T=0,K=3:  38547 (0.006) ; nlsj30729 (0.004) ; 54847 (0.004) ; 10923 (0.004) ; 61959 (0.004) ; 2392 (0.003) ; 54525 (0.003) ; 49173 (0.003) ;  (0.003) ; 8909 (0.003) ; 
0.12175118571677909   T=1,K=3:   (0.007) ; 38547 (0.006) ; 112411 (0.005) ; 55595 (0.005) ; 10923 (0.005) ; nlsj30729 (0.004) ; 61959 (0.004) ; 63013 (0.004) ; 8909 (0.004) ; 2392 (0.003) ; 
0.17780913477894825   T=2,K=3:   (0.029) ; nlsj30729 (0.008) ; 10923 (0.006) ; 61959 (0.006) ; 112411 (0.005) ; 8909 (0.005) ; 109583 (0.004) ; 55595 (0.004) ; 49069 (0.004) ; 3171 (0.004) ; 
0.17009624201165532   T=3,K=3:   (0.093) ; 49069 (0.007) ; nlsj30729 (0.006) ; 55595 (0.006) ; 116070 (0.006) ; 22100 (0.006) ; 3171 (0.005) ; 112070 (0.004) ; 10923 (0.004) ; 61959 (0.004) ; 
0.10631346620500104   T=4,K=3:   (0.015) ; 49069 (0.008) ; 22209 (0.007) ; 116070 (0.006) ; 112070 (0.005) ; 65565 (0.005) ; 92633 (0.005) ; 22100 (0.005) ; 19879 (0.005) ; 55595 (0.005) ; 
0.044129677668546516   T=5,K=3:   (0.011) ; 22209 (0.008) ; 116070 (0.006) ; nlsj30729 (0.005) ; 49069 (0.004) ; 23069 (0.003) ; 112070 (0.003) ; 33671 (0.003) ; nlsj114757 (0.003) ; 96270 (0.003) ; 
0.052112674824468436   T=6,K=3:   (0.012) ; 22209 (0.008) ; 23069 (0.006) ; 6905 (0.004) ; 102000 (0.004) ; 38423 (0.004) ; 64154 (0.004) ; 96270 (0.004) ; 104508 (0.004) ; 81926 (0.004) ; 
0.08582530919842107   T=7,K=3:  22209 (0.016) ;  (0.014) ; 102000 (0.008) ; 19381 (0.006) ; 96270 (0.006) ; 116416 (0.006) ; 64154 (0.005) ; 23069 (0.005) ; 27629 (0.005) ; 29883 (0.005) ; 
0.12843092387866292   T=8,K=3:  102000 (0.016) ; 22209 (0.016) ;  (0.011) ; 19381 (0.011) ; 112720 (0.009) ; 27629 (0.008) ; 64154 (0.007) ; nlsj32160 (0.006) ; 110598 (0.006) ; 116416 (0.006) ; 
0.08046475850367198   T=9,K=3:  22209 (0.024) ; 102000 (0.016) ; 19381 (0.012) ; 110598 (0.012) ; nlsj32160 (0.010) ; 45996 (0.006) ; 27629 (0.005) ; 1258 (0.005) ; nlsj30855 (0.005) ; 31236 (0.005) ; 
0.08326769252246251   T=10,K=3:  22209 (0.016) ; 45996 (0.015) ; 110598 (0.015) ; 102000 (0.013) ; nlsj32160 (0.012) ; 26512 (0.007) ; 19381 (0.007) ; 77596 (0.006) ; 88299 (0.006) ; 31236 (0.006) ; 
