2055 documents , 1 concepts , 4683 context features (115193) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  84494 (0.018) ; 31236 (0.018) ; 85306 (0.014) ; 104690 (0.012) ; 75552 (0.011) ; 30700 (0.009) ; 47735 (0.009) ; 45996 (0.008) ; nlsj76838 (0.007) ; 90166 (0.007) ; 

0.01050944529820037   T=0,K=4:  59735 (0.049) ; 45996 (0.032) ; nlsj1395 (0.014) ; 12409 (0.013) ; 85306 (0.013) ; 68641 (0.012) ; 84494 (0.011) ; 90504 (0.011) ; 41918 (0.011) ; 4845 (0.010) ; 
0.012997523402204472   T=1,K=4:  45996 (0.033) ; 59735 (0.023) ; 90504 (0.013) ; 85306 (0.012) ; 84494 (0.012) ; 68641 (0.011) ; 4845 (0.011) ; 76029 (0.010) ; 49875 (0.009) ; 101711 (0.009) ; 
0.08812169856609871   T=2,K=4:  45996 (0.026) ; 84494 (0.019) ; 59735 (0.018) ; 90504 (0.018) ; 76029 (0.012) ; 4845 (0.012) ; 84434 (0.011) ; 68641 (0.011) ; 85306 (0.011) ; 49875 (0.010) ; 
0.04238572630566901   T=3,K=4:  45996 (0.030) ; 90504 (0.017) ; 84494 (0.016) ; 59735 (0.013) ; 84434 (0.011) ; 85306 (0.011) ; 11583 (0.009) ; 84234 (0.008) ; 13096 (0.008) ; 15893 (0.008) ; 
0.053224067650436475   T=4,K=4:  45996 (0.028) ; 84494 (0.017) ; 84434 (0.015) ; 90504 (0.013) ; 84234 (0.010) ; 101711 (0.009) ; 11583 (0.009) ; 59735 (0.008) ; 68641 (0.008) ; 15893 (0.008) ; 
0.08642375216153063   T=5,K=4:  45996 (0.023) ; 84494 (0.021) ; 84434 (0.016) ; 84234 (0.012) ; 49875 (0.011) ; 13096 (0.011) ; 85306 (0.011) ; 11583 (0.009) ; 101711 (0.008) ; 72273 (0.008) ; 
0.04105448067124875   T=6,K=4:  84494 (0.029) ; 45996 (0.023) ; 84234 (0.012) ; 49875 (0.011) ; 84434 (0.011) ; 11583 (0.011) ; 85306 (0.011) ; 13096 (0.009) ; 32333 (0.007) ; 14026 (0.007) ; 
0.05124227086666874   T=7,K=4:  84494 (0.031) ; 45996 (0.025) ; 85306 (0.019) ; 11583 (0.012) ; 84234 (0.012) ; 84434 (0.010) ; 32333 (0.009) ; 14026 (0.009) ; 90504 (0.009) ; 33819 (0.008) ; 
0.041413648050952295   T=8,K=4:  84494 (0.035) ; 45996 (0.023) ; 84234 (0.018) ; 85306 (0.015) ; 11583 (0.011) ; 90504 (0.011) ; 85736 (0.010) ; 55139 (0.010) ; 33819 (0.009) ; 84434 (0.009) ; 
0.03595129251732983   T=9,K=4:  84494 (0.029) ; 45996 (0.027) ; 84234 (0.014) ; 100787 (0.012) ; 63969 (0.011) ; 85306 (0.010) ; 33819 (0.010) ; 85736 (0.010) ; 55139 (0.010) ; 11583 (0.009) ; 
0.027764161880465193   T=10,K=4:  45996 (0.028) ; 84494 (0.024) ; 100787 (0.023) ; 84234 (0.013) ; 55139 (0.012) ; 85306 (0.012) ; 6616 (0.012) ; 33819 (0.011) ; 63969 (0.010) ; 85736 (0.009) ; 
0.013335307412466968   T=11,K=4:  84494 (0.031) ; 45996 (0.021) ; 6616 (0.019) ; 84234 (0.015) ; 55139 (0.015) ; 100787 (0.012) ; 63969 (0.012) ; 33819 (0.012) ; 14026 (0.011) ; 49875 (0.010) ; 
0.025506166028588014   T=12,K=4:  45996 (0.029) ; 14026 (0.023) ; 6616 (0.023) ; 84494 (0.021) ; 100787 (0.020) ; 84234 (0.019) ; 55139 (0.016) ; 15842 (0.016) ; 63969 (0.012) ; 85306 (0.012) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  45996 (0.027) ; 84494 (0.023) ; 85306 (0.012) ; 84234 (0.011) ; 59735 (0.011) ; 90504 (0.009) ; 49875 (0.009) ; 11583 (0.009) ; 84434 (0.009) ; 100787 (0.008) ; 

0.10208329404518564   T=0,K=5:  22209 (0.040) ; 115193 (0.036) ; 84494 (0.019) ; 104355 (0.012) ; 8909 (0.011) ; 59906 (0.010) ; 83774 (0.009) ; 71282 (0.009) ; 2224 (0.008) ; 45996 (0.008) ; 
0.03930539586143107   T=1,K=5:  115193 (0.046) ; 22209 (0.030) ; 84494 (0.015) ; 45996 (0.015) ; 2224 (0.012) ; 110606 (0.010) ; 85893 (0.010) ; 104429 (0.009) ; 85734 (0.009) ; 115560 (0.009) ; 
0.11210306942968708   T=2,K=5:  115193 (0.045) ; 22209 (0.024) ; 104355 (0.014) ; 84494 (0.014) ; 2224 (0.012) ; 85734 (0.011) ; 74735 (0.008) ; 110606 (0.008) ; 62211 (0.008) ; 45996 (0.007) ; 
0.09027888914076722   T=3,K=5:  115193 (0.037) ; 22209 (0.036) ; 84494 (0.014) ; 104355 (0.011) ; 2224 (0.011) ; 104429 (0.010) ; 85734 (0.009) ; 8909 (0.008) ; 97101 (0.008) ; 62211 (0.007) ; 
0.08612132192474523   T=4,K=5:  22209 (0.040) ; 115193 (0.032) ; 84494 (0.020) ; 45996 (0.011) ; 104355 (0.010) ; 85734 (0.010) ; 65552 (0.009) ; 2224 (0.008) ; 85953 (0.008) ; 104429 (0.007) ; 
0.05294097256627664   T=5,K=5:  115193 (0.026) ; 84494 (0.025) ; 22209 (0.021) ; 104355 (0.021) ; 65552 (0.012) ; 106566 (0.010) ; 104429 (0.009) ; nlsj71743 (0.009) ; 85734 (0.008) ; 8909 (0.008) ; 
0.1637333902421651   T=6,K=5:  84494 (0.030) ; 65552 (0.019) ; 104355 (0.016) ; 115193 (0.014) ; 22209 (0.013) ; 106566 (0.011) ; 85953 (0.011) ; 2224 (0.010) ; 104429 (0.010) ; 45996 (0.010) ; 
0.11730065663210022   T=7,K=5:  84494 (0.027) ; 104355 (0.015) ; 22209 (0.013) ; 45996 (0.011) ; 85306 (0.010) ; 106566 (0.009) ; 2224 (0.009) ; 65552 (0.008) ; 85953 (0.008) ; 104429 (0.007) ; 
0.08792251919481546   T=8,K=5:  84494 (0.029) ; 104355 (0.014) ; 22209 (0.010) ; 45996 (0.009) ; 85953 (0.009) ; 65552 (0.008) ; 50702 (0.008) ; 90504 (0.007) ; 66342 (0.007) ; 84422 (0.007) ; 
0.0710445351046262   T=9,K=5:  84494 (0.020) ; 104355 (0.017) ; 45996 (0.012) ; 85736 (0.010) ; 90504 (0.010) ; 37818 (0.009) ; 85306 (0.008) ; 85953 (0.008) ; 19346 (0.008) ; 22209 (0.008) ; 
0.0922163957559627   T=10,K=5:  104355 (0.023) ; 84494 (0.015) ; 85736 (0.012) ; 85306 (0.012) ; 90504 (0.010) ; 22209 (0.009) ; 45996 (0.009) ; 29883 (0.009) ; 75306 (0.009) ; 103922 (0.008) ; 
0.04803527531363223   T=11,K=5:  84494 (0.025) ; 104355 (0.015) ; 85306 (0.013) ; 45996 (0.012) ; 29883 (0.009) ; 75306 (0.009) ; 85736 (0.009) ; 37818 (0.009) ; 110746 (0.009) ; 90504 (0.009) ; 
0.04287346326531637   T=12,K=5:  84494 (0.021) ; 85306 (0.011) ; 19346 (0.011) ; 104355 (0.009) ; 85953 (0.009) ; 85736 (0.009) ; 90504 (0.008) ; 37851 (0.008) ; 29883 (0.008) ; 43056 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  84494 (0.021) ; 115193 (0.020) ; 22209 (0.020) ; 104355 (0.014) ; 45996 (0.010) ; 85306 (0.008) ; 2224 (0.008) ; 65552 (0.007) ; 85953 (0.007) ; 104429 (0.006) ; 

0.08342316524366353   T=0,K=6:  19477 (0.026) ; 85306 (0.018) ; 28566 (0.016) ; 33160 (0.016) ; 76258 (0.015) ; 26447 (0.014) ; 89960 (0.013) ; 3511 (0.013) ; 109757 (0.013) ; 33956 (0.012) ; 
0.14003793590079838   T=1,K=6:  33160 (0.023) ; 85306 (0.018) ; 26447 (0.018) ; 33956 (0.014) ; 51792 (0.013) ; 109757 (0.012) ; 19477 (0.011) ; 28566 (0.011) ; 42786 (0.009) ; 115201 (0.009) ; 
0.050484879873122654   T=2,K=6:  109757 (0.019) ; 18390 (0.017) ; 33160 (0.014) ; 26447 (0.014) ; 33956 (0.012) ; 51792 (0.011) ; 84234 (0.011) ; 28566 (0.011) ; 76258 (0.010) ; 42786 (0.010) ; 
0.02848093480697121   T=3,K=6:  33956 (0.017) ; 18390 (0.015) ; 26447 (0.013) ; 109757 (0.012) ; 18107 (0.012) ; 39482 (0.011) ; 115193 (0.011) ; 51792 (0.010) ; 33160 (0.010) ; 74571 (0.010) ; 
0.025686296234650758   T=4,K=6:  33956 (0.019) ; 115193 (0.015) ; 45996 (0.013) ; 26447 (0.013) ; 74571 (0.013) ; 89960 (0.012) ; 63300 (0.010) ; 109757 (0.010) ; 3511 (0.010) ; 90504 (0.009) ; 
0.033287886189940906   T=5,K=6:  33956 (0.022) ; 115193 (0.020) ; 45996 (0.019) ; 26447 (0.011) ; 54847 (0.010) ; 90504 (0.010) ; 74571 (0.010) ; 62204 (0.009) ; 84234 (0.009) ; 33160 (0.009) ; 
0.03142006592764046   T=6,K=6:  115193 (0.024) ; 45996 (0.021) ; 33956 (0.014) ; 26447 (0.010) ; 54847 (0.010) ; 84494 (0.010) ; 90504 (0.009) ; 40972 (0.009) ; 22825 (0.009) ; 85306 (0.008) ; 
0.02334403502557882   T=7,K=6:  45996 (0.020) ; 84494 (0.016) ; 26447 (0.012) ; 33956 (0.011) ; 63772 (0.011) ; 90504 (0.010) ; 83756 (0.010) ; 84434 (0.010) ; 115193 (0.009) ; 84234 (0.008) ; 
