2299 documents , 1 concepts , 4352 context features (86219) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 15, max_docs_per_slice 2000, start -800, end 400, times 13, dT 100, I 1000


map[]

===============  per type  ===============
0.038438762698042   T=5,K=3:  84234 (0.023) ; 75552 (0.021) ; 43206 (0.019) ; 64866 (0.014) ; 46712 (0.013) ; 20588 (0.012) ; 60003 (0.011) ; 20621 (0.010) ; 85306 (0.009) ; 76910 (0.008) ; 
0.044429620344453524   T=6,K=3:  75552 (0.025) ; 84234 (0.022) ; 64866 (0.016) ; 46712 (0.015) ; 60003 (0.015) ; 20588 (0.013) ; 19346 (0.012) ; 63845 (0.011) ; 43206 (0.011) ; 85306 (0.009) ; 
0.04995546416946944   T=7,K=3:  84234 (0.045) ; 45996 (0.018) ; 64866 (0.016) ; 75552 (0.013) ; 20588 (0.013) ; 46712 (0.011) ; 19346 (0.010) ; 63845 (0.010) ; 22209 (0.010) ; 85306 (0.010) ; 
0.05807169038652879   T=8,K=3:  84234 (0.024) ; 45996 (0.016) ; 63845 (0.013) ; 22209 (0.012) ; 103012 (0.011) ; 11058 (0.010) ; 64866 (0.009) ; 75552 (0.009) ; 60003 (0.009) ; 85306 (0.009) ; 
0.03157135964514187   T=9,K=3:  45996 (0.014) ; 64866 (0.014) ; 22209 (0.013) ; 11058 (0.013) ; 84234 (0.012) ; 46712 (0.011) ; 116416 (0.011) ; 103012 (0.010) ; 76910 (0.009) ; 60003 (0.009) ; 
0.04649225773692433   T=10,K=3:  45996 (0.017) ; 46712 (0.014) ; 116416 (0.013) ; 84234 (0.013) ; 60003 (0.012) ; 79223 (0.012) ; 76910 (0.012) ; 108660 (0.011) ; 46612 (0.010) ; 43206 (0.010) ; 
0.039297012824206494   T=11,K=3:  43206 (0.023) ; 84234 (0.016) ; 45996 (0.015) ; 108660 (0.014) ; 64152 (0.012) ; 2219 (0.012) ; 79223 (0.012) ; 46712 (0.012) ; 76910 (0.010) ; 110639 (0.010) ; 
0.03644875385432511   T=12,K=3:  43206 (0.028) ; 45996 (0.022) ; 64152 (0.018) ; 84234 (0.017) ; 76910 (0.014) ; 46712 (0.013) ; 46612 (0.011) ; 108660 (0.011) ; 2219 (0.011) ; 110639 (0.010) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=3:  84234 (0.019) ; 43206 (0.018) ; 75552 (0.014) ; 64866 (0.011) ; 60003 (0.011) ; 45996 (0.010) ; 46712 (0.010) ; 76910 (0.009) ; 19346 (0.008) ; 64152 (0.008) ; 

0.1440987112926675   T=0,K=4:  86219 (0.082) ; 22209 (0.027) ; 62204 (0.019) ; 43309 (0.018) ; 1564 (0.013) ; 71308 (0.011) ; 43206 (0.011) ; 20621 (0.010) ; 65552 (0.010) ; 6330 (0.010) ; 
0.10344923020593727   T=1,K=4:  86219 (0.063) ; 22209 (0.023) ; 62204 (0.022) ; 71308 (0.016) ; 43309 (0.015) ; 1564 (0.014) ; 20621 (0.013) ; 96082 (0.013) ; 45996 (0.012) ; 6330 (0.011) ; 
0.055876224642385376   T=2,K=4:  86219 (0.045) ; 22209 (0.021) ; 43309 (0.016) ; 20621 (0.016) ; 1564 (0.015) ; 62204 (0.014) ; nlsj40132 (0.013) ; 52332 (0.013) ; 72610 (0.011) ; 6330 (0.011) ; 
0.05487459836767366   T=3,K=4:  86219 (0.051) ; 22209 (0.020) ; 20621 (0.014) ; 62204 (0.014) ; 43309 (0.013) ; nlsj40132 (0.013) ; 52332 (0.013) ; 1564 (0.012) ; 28566 (0.012) ; 72627 (0.010) ; 
