262 documents , 1 concepts , 1424 context features (93711) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
p(w|s) = sum_t P(w|t,s)  T=-1,K=4:  113560 (0.023) ; 65552 (0.020) ; 47007 (0.015) ; 90504 (0.014) ; 23658 (0.014) ; 63772 (0.013) ; 4076 (0.012) ; 111490 (0.012) ; 27847 (0.012) ; 68641 (0.011) ; 

0.005416048501262316   T=0,K=5:  110114 (0.156) ; 62126 (0.038) ; 66342 (0.025) ; 34196 (0.021) ; 57264 (0.017) ; 52572 (0.016) ; nlsj5852 (0.014) ; 65552 (0.014) ; nlsj4743 (0.013) ; nlsj8862 (0.013) ; 
0.014946442058441662   T=1,K=5:  110114 (0.154) ; 66342 (0.058) ; 62126 (0.024) ; nlsj5852 (0.017) ; 21651 (0.016) ; 52572 (0.016) ; nlsj4743 (0.015) ; 84238 (0.015) ; 84234 (0.015) ; 65552 (0.014) ; 
0.0013094280518999525   T=2,K=5:  110114 (0.085) ; 66342 (0.058) ; 62126 (0.037) ; nlsj4743 (0.021) ; 34196 (0.018) ; 6695 (0.018) ; 21651 (0.016) ; 84238 (0.016) ; nlsj8862 (0.015) ; 82367 (0.014) ; 
0.010031817767583724   T=3,K=5:  110114 (0.059) ; 66342 (0.025) ; 34196 (0.024) ; 116416 (0.023) ; 84238 (0.021) ; 62126 (0.021) ; 82367 (0.020) ; 6695 (0.019) ; 67762 (0.019) ; 21651 (0.018) ; 
0.040374637784283456   T=4,K=5:  110114 (0.053) ; 116416 (0.038) ; 21651 (0.023) ; 34196 (0.022) ; 67762 (0.019) ; 84238 (0.017) ; 62126 (0.017) ; 66342 (0.017) ; 19477 (0.017) ; 22209 (0.016) ; 
0.19604051193300828   T=5,K=5:  110114 (0.062) ; 84238 (0.030) ; 67762 (0.028) ; 116416 (0.022) ; 64923 (0.016) ; 62126 (0.015) ; 72627 (0.014) ; 110639 (0.014) ; 46249 (0.014) ; 34196 (0.014) ; 
0.07482576341370187   T=6,K=5:  110114 (0.061) ; 84238 (0.026) ; 67762 (0.026) ; 63814 (0.023) ; 34196 (0.019) ; 116416 (0.019) ; 22209 (0.016) ; 46249 (0.015) ; 91516 (0.015) ; 21651 (0.015) ; 
0.050132984963415055   T=7,K=5:  110114 (0.080) ; 67762 (0.023) ; 34196 (0.020) ; 91516 (0.019) ; 116416 (0.018) ; 84238 (0.017) ; 22209 (0.017) ; 21651 (0.017) ; 28582 (0.016) ; 63814 (0.016) ; 
0.08499195912465772   T=8,K=5:  110114 (0.035) ; 34196 (0.025) ; 63814 (0.022) ; 91516 (0.021) ; 28582 (0.020) ; 21651 (0.018) ; 46249 (0.018) ; 30653 (0.016) ; 113388 (0.016) ; 62126 (0.014) ; 
0.03135457197097533   T=9,K=5:  110114 (0.044) ; 63814 (0.031) ; 90424 (0.025) ; 22209 (0.025) ; 91516 (0.025) ; 30653 (0.021) ; 48291 (0.020) ; 110456 (0.017) ; 3751 (0.017) ; 113388 (0.015) ; 
0.04076213763769451   T=10,K=5:  110114 (0.039) ; 63814 (0.032) ;  (0.028) ; 48291 (0.026) ; 22209 (0.025) ; 114565 (0.024) ; 91516 (0.022) ; 90424 (0.022) ; 30653 (0.019) ; 71308 (0.016) ; 
0.07099112157085694   T=11,K=5:  110114 (0.054) ; 63814 (0.052) ; 22209 (0.038) ; 114565 (0.034) ; 48291 (0.022) ; 91516 (0.020) ;  (0.020) ; 34196 (0.017) ; 71308 (0.015) ; 84238 (0.014) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  110114 (0.073) ; 66342 (0.019) ; 63814 (0.019) ; 62126 (0.019) ; 34196 (0.018) ; 84238 (0.017) ; 116416 (0.017) ; 22209 (0.016) ; 67762 (0.016) ; 21651 (0.015) ; 

