1751 documents , 1 concepts , 4413 context features (70958) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 12, dT 100, I 1000


map[]

===============  per type  ===============
0.09866656786995061   T=9,K=5:  45996 (0.030) ; 85306 (0.014) ; 62204 (0.014) ; 48291 (0.012) ; 84494 (0.011) ; nlsj96033 (0.010) ; 65552 (0.008) ; 60308 (0.008) ; 18617 (0.008) ; 26447 (0.008) ; 
0.1802539941727295   T=10,K=5:  45996 (0.033) ; 62204 (0.014) ; 48291 (0.012) ; 85306 (0.012) ; 84494 (0.011) ; nlsj96033 (0.010) ; 60308 (0.008) ; 18617 (0.008) ;  (0.008) ; 33426 (0.008) ; 
0.22298361918840426   T=11,K=5:  45996 (0.037) ; 48291 (0.025) ; 85306 (0.014) ; 114706 (0.010) ; 26447 (0.009) ;  (0.009) ; 62204 (0.009) ; nlsj96033 (0.008) ; 60308 (0.008) ; 42214 (0.008) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=5:  45996 (0.020) ; 85306 (0.015) ; 48291 (0.012) ; 84494 (0.011) ; 84234 (0.010) ; 62204 (0.010) ; 84434 (0.009) ; 71308 (0.008) ; 22209 (0.008) ; 1564 (0.007) ; 

0.21628772601719737   T=0,K=6:  16052 (0.024) ; 104429 (0.024) ; 65552 (0.022) ; 110639 (0.022) ; 22209 (0.022) ; 20213 (0.018) ; 17381 (0.018) ; 90504 (0.015) ; 33819 (0.014) ; nlsj32160 (0.014) ; 
0.1070820872816827   T=1,K=6:  22209 (0.030) ; 104429 (0.027) ; nlsj32160 (0.021) ; 90504 (0.019) ; 16052 (0.017) ; 110639 (0.017) ; 65552 (0.017) ; 17381 (0.014) ; 20213 (0.013) ; 64866 (0.013) ; 
0.03870905604269472   T=2,K=6:  22209 (0.025) ; 65552 (0.022) ; 104429 (0.021) ; 75552 (0.020) ; nlsj32160 (0.018) ; 16052 (0.017) ; 17381 (0.017) ; 90504 (0.015) ; 64866 (0.013) ; 110639 (0.012) ; 
0.03730825830312341   T=3,K=6:  65552 (0.026) ; 22209 (0.025) ; 90504 (0.022) ; 75552 (0.019) ; 33819 (0.018) ; 110639 (0.016) ; 16052 (0.016) ; 20213 (0.014) ; nlsj32160 (0.014) ; 17381 (0.012) ; 
0.05034347367978852   T=4,K=6:  22209 (0.026) ; nlsj32160 (0.020) ; 75552 (0.019) ; 104429 (0.015) ; 65552 (0.014) ; 16052 (0.013) ; 110639 (0.012) ; 90504 (0.012) ; 116416 (0.011) ; 64866 (0.009) ; 
0.07200363830043917   T=5,K=6:  nlsj32160 (0.024) ; 22209 (0.020) ; 65552 (0.014) ; 110639 (0.014) ; 75552 (0.013) ; 16052 (0.013) ; 104429 (0.012) ; 17381 (0.011) ; 90504 (0.011) ;  (0.010) ; 
0.05726086908462741   T=6,K=6:  nlsj32160 (0.020) ; 22209 (0.020) ; 75552 (0.018) ; 65552 (0.015) ; 16052 (0.012) ; 104429 (0.011) ; 92373 (0.011) ; 110639 (0.011) ; 33819 (0.010) ; 90504 (0.010) ; 
0.08709022715474288   T=7,K=6:  22209 (0.023) ; nlsj32160 (0.019) ; 65552 (0.017) ; 84494 (0.011) ; 92373 (0.010) ; 90504 (0.010) ;  (0.010) ; 110639 (0.009) ; 75552 (0.009) ; 112720 (0.008) ; 
0.09116703527199907   T=8,K=6:  22209 (0.024) ; 90504 (0.020) ; nlsj32160 (0.018) ; 65552 (0.013) ;  (0.011) ; 75552 (0.009) ; 2764 (0.008) ; 46613 (0.007) ; 64866 (0.007) ; 48291 (0.007) ; 
