1832 documents , 1 concepts , 4516 context features (49875) 
kappaF 10.000000, kappaK 4.000000, a0 7.000000, b0 3.000000, K 10, max_docs_per_slice 2000, start -800, end 400, times 7, dT 200, I 100


map[]

===============  per type  ===============
0.10156432115112081   T=5,K=8:  45996 (0.018) ; 84494 (0.012) ; 58429 (0.011) ; 62204 (0.010) ; 22209 (0.009) ; 11583 (0.008) ; 61265 (0.007) ; 84234 (0.007) ;  (0.006) ; 102230 (0.006) ; 
0.07982454731411118   T=6,K=8:  58429 (0.017) ; 45996 (0.013) ; 84494 (0.013) ; 8909 (0.010) ;  (0.009) ; 24444 (0.008) ; 61265 (0.008) ; 64866 (0.007) ; 22209 (0.006) ; 11583 (0.006) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=8:  45996 (0.016) ; 22209 (0.014) ; 84494 (0.010) ; 85306 (0.010) ; 68641 (0.008) ; 11583 (0.008) ; 58429 (0.008) ; 24444 (0.007) ; 58386 (0.007) ; 84234 (0.006) ; 

0.39403796976514405   T=0,K=9:  49875 (0.023) ; 45996 (0.013) ; 22209 (0.012) ; 58429 (0.012) ; 11583 (0.012) ; 57457 (0.012) ; 71308 (0.010) ; 116416 (0.009) ; 80043 (0.008) ; 84494 (0.008) ; 
0.12467819947107296   T=1,K=9:  49875 (0.020) ; 45996 (0.011) ; 58429 (0.010) ; 71308 (0.010) ; 85306 (0.010) ; 11583 (0.010) ; 80043 (0.009) ; 116416 (0.009) ; 22209 (0.009) ; 31161 (0.008) ; 
0.13783650265397196   T=2,K=9:  58429 (0.020) ; 49875 (0.014) ; 45996 (0.012) ; 11583 (0.011) ; 84234 (0.011) ; 85306 (0.009) ;  (0.008) ; 80043 (0.008) ; 71308 (0.008) ; 84494 (0.008) ; 
0.10574353947929598   T=3,K=9:  45996 (0.014) ; 58429 (0.014) ; 85306 (0.011) ; 49875 (0.011) ;  (0.010) ; 27847 (0.009) ; 84234 (0.009) ; 71308 (0.009) ; 84422 (0.007) ; 68641 (0.007) ; 
0.12068229582561903   T=4,K=9:   (0.016) ; 45996 (0.013) ; 58429 (0.013) ; 49875 (0.010) ; 63772 (0.009) ; 85306 (0.008) ; 116416 (0.007) ; 11583 (0.007) ; 71308 (0.006) ; 86219 (0.006) ; 
0.14221327467937692   T=5,K=9:   (0.014) ; 49875 (0.011) ; 58429 (0.010) ; 45996 (0.010) ; 76530 (0.008) ; 90504 (0.008) ; 63772 (0.008) ; 31161 (0.007) ; 85306 (0.007) ; 11583 (0.007) ; 
0.16888831662335274   T=6,K=9:  45996 (0.023) ;  (0.021) ; 84422 (0.009) ; 49875 (0.008) ; 90504 (0.008) ; 62204 (0.008) ; 73742 (0.007) ; 76530 (0.007) ; 52332 (0.007) ; 11583 (0.007) ; 
p(w|s) = sum_t P(w|t,s)  T=-1,K=9:  49875 (0.014) ; 45996 (0.014) ; 58429 (0.012) ;  (0.011) ; 11583 (0.008) ; 85306 (0.008) ; 71308 (0.007) ; 84234 (0.007) ; 22209 (0.007) ; 116416 (0.007) ; 

===============  per time  ===============
Time=0  
0.14245303833035697   T=0,K=0:  58429 (0.018) ; 28566 (0.017) ; 31565 (0.013) ; 2731 (0.010) ; 11583 (0.009) ;  (0.009) ; 62204 (0.008) ; 84494 (0.008) ; 104225 (0.008) ; 24444 (0.007) ; 
0.038290538448432186   T=0,K=1:  84494 (0.024) ; 45996 (0.016) ;  (0.016) ; 1564 (0.013) ; 63772 (0.012) ; 68641 (0.010) ; 46613 (0.010) ; 85306 (0.009) ; 22209 (0.008) ; 84234 (0.008) ; 
0.026878815665474655   T=0,K=2:   (0.025) ; 104355 (0.016) ; 58429 (0.009) ; 84234 (0.009) ; nlsj76838 (0.009) ; 66342 (0.009) ; 80043 (0.009) ; 69863 (0.009) ; 45996 (0.009) ; 86112 (0.008) ; 
0.03029652098331337   T=0,K=3:  85306 (0.018) ; 45996 (0.017) ; 58429 (0.015) ; 24444 (0.013) ; 22209 (0.013) ; 84234 (0.013) ; 72627 (0.008) ; 67762 (0.008) ; 8909 (0.007) ; 72287 (0.007) ; 
0.014283099236815887   T=0,K=4:  62204 (0.015) ; 46123 (0.014) ; 114624 (0.013) ; 43206 (0.011) ; 58429 (0.009) ; 112720 (0.009) ; 21920 (0.009) ; 84494 (0.008) ; 48291 (0.008) ;  (0.007) ; 
0.052289537788482415   T=0,K=5:  19546 (0.021) ; 62204 (0.017) ; 84494 (0.013) ; 106974 (0.012) ; 84434 (0.010) ; 11583 (0.010) ; 85306 (0.009) ; 58429 (0.009) ; 68641 (0.008) ; 110606 (0.007) ; 
0.08170955838860405   T=0,K=6:  45996 (0.012) ; 52571 (0.011) ; 65552 (0.010) ; 112833 (0.010) ; 62204 (0.009) ; 63772 (0.008) ; 79484 (0.007) ; 68641 (0.006) ; 70840 (0.006) ; 106974 (0.006) ; 
0.08816395395709356   T=0,K=7:  45996 (0.020) ; 86112 (0.019) ;  (0.014) ; 84234 (0.014) ; 72627 (0.012) ; 68641 (0.011) ; 20621 (0.010) ; 47007 (0.009) ; 110639 (0.008) ; 15893 (0.008) ; 
0.13159696743628285   T=0,K=8:  22209 (0.031) ; 85306 (0.018) ; 45996 (0.016) ; 68641 (0.011) ; 84234 (0.010) ; 43206 (0.009) ; 58386 (0.009) ; 105829 (0.008) ; 84494 (0.008) ; 24444 (0.008) ; 
0.39403796976514405   T=0,K=9:  49875 (0.023) ; 45996 (0.013) ; 22209 (0.012) ; 58429 (0.012) ; 11583 (0.012) ; 57457 (0.012) ; 71308 (0.010) ; 116416 (0.009) ; 80043 (0.008) ; 84494 (0.008) ; 

Time=1  
0.19120936317847723   T=1,K=0:  58429 (0.021) ; 28566 (0.013) ; 84494 (0.012) ; 31565 (0.010) ; 62204 (0.008) ;  (0.008) ; 80011 (0.007) ; 56840 (0.007) ; 45996 (0.007) ; 85306 (0.006) ; 
0.049359049865466145   T=1,K=1:   (0.019) ; 84494 (0.017) ; 45996 (0.014) ; 85306 (0.014) ; 1564 (0.012) ; 22209 (0.012) ; 46613 (0.011) ; 63772 (0.011) ; 68641 (0.009) ; 84434 (0.007) ; 
0.04365077988514217   T=1,K=2:   (0.028) ; 58429 (0.016) ; 45996 (0.010) ; 84234 (0.010) ; nlsj61372 (0.010) ; 69863 (0.008) ; nlsj76838 (0.008) ; 80043 (0.007) ; 66342 (0.007) ; 86112 (0.006) ; 
0.04849105337300723   T=1,K=3:  45996 (0.018) ; 85306 (0.016) ; 84234 (0.012) ; 22209 (0.012) ; 58429 (0.010) ; 72627 (0.010) ; 65552 (0.009) ; 55139 (0.009) ; 28569 (0.008) ; 24444 (0.008) ; 
0.018292348663001032   T=1,K=4:  58429 (0.020) ; 114624 (0.011) ; 22209 (0.010) ; 46123 (0.010) ; 62204 (0.010) ;  (0.009) ; 98323 (0.009) ; 45996 (0.007) ; 21920 (0.007) ; 112720 (0.007) ; 
0.050321896622633956   T=1,K=5:  19546 (0.014) ; 84494 (0.011) ; 106974 (0.009) ; 85306 (0.008) ; 58429 (0.008) ; 110606 (0.008) ; 62204 (0.008) ; 11583 (0.007) ; 70958 (0.007) ; 65552 (0.007) ; 
0.10629598715776467   T=1,K=6:  45996 (0.020) ; 52571 (0.013) ; 62204 (0.012) ; 65552 (0.010) ; 63772 (0.009) ; 28569 (0.007) ; 70840 (0.006) ; 26447 (0.006) ; 2583 (0.005) ; 112833 (0.005) ; 
0.13243225216070378   T=1,K=7:  45996 (0.021) ; 86112 (0.016) ;  (0.014) ; 84234 (0.013) ; 62204 (0.010) ; 20621 (0.010) ; 22209 (0.009) ; 110639 (0.007) ; 58429 (0.007) ; 24444 (0.007) ; 
0.2352690696227308   T=1,K=8:  45996 (0.018) ; 22209 (0.017) ; 11583 (0.012) ; 85306 (0.011) ; 68641 (0.010) ; 24444 (0.008) ; 4845 (0.007) ; 84494 (0.007) ; 58386 (0.007) ; 43206 (0.007) ; 
0.12467819947107296   T=1,K=9:  49875 (0.020) ; 45996 (0.011) ; 58429 (0.010) ; 71308 (0.010) ; 85306 (0.010) ; 11583 (0.010) ; 80043 (0.009) ; 116416 (0.009) ; 22209 (0.009) ; 31161 (0.008) ; 

Time=2  
0.09531777791686061   T=2,K=0:  58429 (0.014) ; 28566 (0.012) ; 84494 (0.010) ;  (0.009) ; 62204 (0.008) ; 31565 (0.007) ; 11583 (0.007) ; 1377 (0.007) ; 45996 (0.007) ; 8665 (0.006) ; 
0.081816333009125   T=2,K=1:   (0.017) ; 45996 (0.015) ; 84494 (0.013) ; 68641 (0.012) ; 85306 (0.012) ; 84234 (0.010) ; 24440 (0.010) ; 22209 (0.009) ; 1564 (0.009) ; 63772 (0.008) ; 
0.09222269512906119   T=2,K=2:  58429 (0.019) ;  (0.018) ; 45996 (0.015) ; 84234 (0.013) ; 66342 (0.009) ; nlsj61372 (0.007) ; 84494 (0.007) ; 102000 (0.007) ; 84422 (0.006) ; 48291 (0.006) ; 
0.12560155015780639   T=2,K=3:  22209 (0.020) ; 84234 (0.016) ; 45996 (0.015) ;  (0.013) ; 62204 (0.012) ; 58429 (0.012) ; 85306 (0.012) ; 72627 (0.009) ; 24444 (0.008) ; 65552 (0.008) ; 
0.08985631985509229   T=2,K=4:  58429 (0.014) ;  (0.014) ; 43206 (0.010) ; 62204 (0.009) ; 45996 (0.009) ; 84494 (0.009) ; 22209 (0.008) ; 23069 (0.008) ; 85306 (0.007) ; 114624 (0.007) ; 
